date,value
10.10.2022,204.08
11.10.2022,204.46
12.10.2022,196.86
13.10.2022,189.72
14.10.2022,184.61
17.10.2022,183.53
18.10.2022,183.11
19.10.2022,180.48
20.10.2022,179.31
21.10.2022,179.16
24.10.2022,178.7
25.10.2022,174.38
26.10.2022,168.7
27.10.2022,167.86
28.10.2022,159.36
31.10.2022,166.78
01.11.2022,163.87
02.11.2022,170.95
03.11.2022,161.61
04.11.2022,164.95
07.11.2022,159.22
08.11.2022,155.35
09.11.2022,153.42
10.11.2022,158.01
11.11.2022,157.77
14.11.2022,156.64
15.11.2022,149.69
16.11.2022,148.66
17.11.2022,146.74
18.11.2022,145.57
21.11.2022,150.54
22.11.2022,154.58
23.11.2022,152.75
25.11.2022,154.9
28.11.2022,152.84
29.11.2022,158.52
30.11.2022,159.46
01.12.2022,155.56
02.12.2022,152.6
05.12.2022,152.6
06.12.2022,153.45
07.12.2022,150.35
08.12.2022,148.94
09.12.2022,148.43
12.12.2022,156.78
13.12.2022,157.58
14.12.2022,157.81
15.12.2022,161.19
16.12.2022,154.29
19.12.2022,154.2
20.12.2022,157.48
21.12.2022,158.94
22.12.2022,158.52
23.12.2022,161.43
27.12.2022,156.69
28.12.2022,162.88
29.12.2022,159.6
30.12.2022,157.02
03.01.2023,156.08
04.01.2023,151.38
05.01.2023,150.68
06.01.2023,148.57
09.01.2023,148.33
10.01.2023,141.62
11.01.2023,135.05
12.01.2023,140.22
13.01.2023,142.37
17.01.2023,141.81
18.01.2023,145.47
19.01.2023,145.1
20.01.2023,145.28
23.01.2023,148.8
24.01.2023,150.02
25.01.2023,152.46
26.01.2023,156.87
27.01.2023,159.46
30.01.2023,159.92
31.01.2023,170.58
01.02.2023,165.09
02.02.2023,166.96
03.02.2023,162.18
06.02.2023,164.9
07.02.2023,166.22
08.02.2023,164.82
09.02.2023,163
10.02.2023,163.93
13.02.2023,165.88
14.02.2023,171.98
15.02.2023,166.12
16.02.2023,169.17
17.02.2023,174.33
21.02.2023,178.18
22.02.2023,181.46
23.02.2023,178.04
24.02.2023,176.16
27.02.2023,174.99
28.02.2023,174.85
01.03.2023,172.27
02.03.2023,171
03.03.2023,166.92
06.03.2023,169.22
07.03.2023,171.33
08.03.2023,166.45
09.03.2023,164.29
10.03.2023,166.87
13.03.2023,168.18
14.03.2023,164.66
15.03.2023,161.99
16.03.2023,168.98
17.03.2023,165.74
20.03.2023,167.53
21.03.2023,169.22
22.03.2023,167.06
23.03.2023,163.59
24.03.2023,168.23
27.03.2023,166.03
28.03.2023,163.07
29.03.2023,159.27
30.03.2023,159.36
31.03.2023,160.02
03.04.2023,165.42
04.04.2023,164.1
05.04.2023,169.08
06.04.2023,172.31
10.04.2023,171.02
11.04.2023,178.02
12.04.2023,177.57
13.04.2023,182.77
14.04.2023,179.73
17.04.2023,186.81
18.04.2023,190.57
19.04.2023,187.85
20.04.2023,181.98
21.04.2023,179.68
24.04.2023,181.56
25.04.2023,176.82
26.04.2023,179.82
27.04.2023,176.63
28.04.2023,174.52
01.05.2023,174.19
02.05.2023,175.27
03.05.2023,174.1
04.05.2023,171.7
05.05.2023,176.49
